PERIOD,L,GA,AL,GSIG,SIGMA,PBACKTIME,COST1,ETREE,CUMETREE,RR,CPRICEBASE
0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1,7403.0,0.076,5.115,-0.0152,0.35032002736111795,550.0,0.07410615963408262,2.6,100.0,1.0,2.0
2,7853.090847672712,0.07412355331415328,5.535714285714286,-0.0151848,0.3450354276488105,536.25,0.07116355695256717,2.301,103.54609929078015,0.9852216748768474,2.2081616064
3,8264.920660350976,0.07229343626205427,5.978890926029328,-0.0151696152,0.3398357119201001,522.84375,0.06833883769393263,2.036385,106.68439716312058,0.9706617486471405,2.4379888399895147
4,8638.974959558942,0.07050850496097001,6.444808261287906,-0.0151544455848,0.3347194389963113,509.77265624999995,0.06562723750602285,1.8022007250000003,109.46179078014185,0.9563169937410252,2.6917366766482598
5,8976.55691758462,0.06876764377073293,6.9336925573668475,-0.015139291139215201,0.3296851934177427,497.02833984374996,0.06302418629057165,1.5949476416250004,111.91978413120569,0.9421842302867243,2.97189479195671
6,9279.54298469984,0.06706976459642926,7.44571696954631,-0.015124151848075985,0.32473158496338383,484.6026313476562,0.06052530021344261,1.4115286628381252,114.09510824689718,0.9282603254056397,3.2812119889294613
7,9550.179527637187,0.06541380620830439,7.981000815484784,-0.01510902769622791,0.31985724817998284,472.4875655639648,0.058126374046365004,1.2492028666117407,116.02027008928415,0.9145421925178719,3.6227231682067096
8,9790.919965599942,0.06379873357845976,8.539609153763747,-0.015093918668531681,0.31506084192027667,460.67537642486565,0.05582337382629175,1.1055445369513905,117.72403831979662,0.9010267906580018,3.999779105324913
9,10004.298976254453,0.06222353723392662,9.121552661859619,-0.01507882474986315,0.31034104889019715,449.158492014244,0.05361242981909221,0.9784069152019808,119.23187320380015,0.887711123800987,4.416079327229707
10,10192.8388950882,0.060687232625712656,9.72678780501124,-0.015063745925113286,0.305696575204873,437.92952971388786,0.05148982977485238,0.8658901199537529,120.56630707614327,0.874592240198017,4.875708410602692
11,10358.982970443227,0.05918885951342677,10.355217285293657,-0.015048682179188174,0.3011261499532488,426.9812914710407,0.049452012462592475,0.7663127561590714,121.74728105316694,0.8616672317221843,5.383176058147216
12,10505.05028880088,0.0577274813650976,11.006690758294056,-0.015033633497008985,0.29662852477114865,416.30675918426465,0.04749556147272548,0.6781867892007781,122.79244302283288,0.848933233223827,5.943461346046188
13,10633.207677451763,0.05630218477181056,11.681005803119218,-0.015018599863511976,0.29220247342261213,405.899090204658,0.045617199276072704,0.6001953084426886,123.71741136598725,0.836387421895396,6.562061576730829
14,10745.454538260821,0.054912078876797485,12.377909130047854,-0.015003581263648464,0.2878467913893383,395.7516129495416,0.043813781528723394,0.5311728479717794,124.53600834967885,0.8240270166457105,7.245046216284833
15,10843.617248100269,0.05355629481862222,13.097098008973768,-0.014988577682384817,0.2835602954680725,385.85782262580307,0.04208229161247685,0.4700879704550248,125.26046668024593,0.8118492774834588,7.99911644569688
16,10929.350409038889,0.05223398518811389,13.83822190086184,-0.014973589104702431,0.27934182337577756,376.21137706015793,0.04041983540103719,0.41602785385269697,125.90161230279779,0.7998515049098116,8.83167091025534
17,11004.142808573542,0.05094432349870859,14.600884273750275,-0.01495861551559773,0.27519023336243204,366.806092633654,0.038823636242545034,0.36818465065963685,126.46902617875618,0.7880310393200115,9.750878312192793
18,11069.326442880916,0.04968650366986839,15.384644584369026,-0.014943656900082132,0.27110440383130285,357.63594031781264,0.037291030149426155,0.3258434158337786,126.97118745897936,0.7763852604138046,10.76575755883128
19,11126.087363263761,0.048459739523254775,16.189020406192903,-0.014928713243182049,0.26708323296654224,348.6950418098673,0.03581946118691653,0.2883714230128941,127.41560019197688,0.7649115866145859,11.886266252610913
20,11175.477433974342,0.04726326429134152,17.013489684694793,-0.014913784529938866,0.2631256383679617,339.9776657646206,0.03440647705198666,0.25520870936641127,127.80890546067968,0.7536074744971291,13.123398391231712
21,11218.426348174595,0.04609633013816014,17.857493100693688,-0.014898870745408927,0.25923055669283973,331.47822412050505,0.03304972483473554,0.22585970778927397,128.15698062348167,0.7424704182237725,14.489292236504696
22,11255.753448762487,0.044958207691877944,18.720436522987804,-0.014883971874663518,0.2553969433046219,323.19126851749246,0.031746946954658024,0.19988584139350746,128.4650271425614,0.7314979489889384,15.99734941027963
23,11288.179052678744,0.04384818558891698,19.60169353190786,-0.014869087902788854,0.2516237719283762,315.11148680455517,0.030495977264508044,0.1768989696332541,128.737648311947,0.7206876344718607,17.662366385972582
24,11316.335090616962,0.04276557002932863,20.5006079960022,-0.014854218814886066,0.2479100343128674,307.2336996344412,0.02929473731478597,0.15655558812542988,128.97891804685324,0.7100370782973997,19.500679665837293
25,11340.77495699495,0.041709684343146,21.416496684757064,-0.01483936459607118,0.24425473989911928,299.5528571435802,0.02814123277217046,0.13855169549100546,129.19244176224527,0.6995439195048273,21.530326068403546
26,11361.982524452027,0.04067986856744326,22.34865190104448,-0.014824525231475108,0.24065691549533466,292.0640357149907,0.02703354998549574,0.12261825050953983,129.3814102503672,0.6892058320244606,23.771219698760888
27,11380.380318589312,0.03967547903383722,23.296344117860993,-0.014809700706243633,0.2371156049580466,284.7624348221159,0.0259698526931432,0.10851715170094274,129.5486473623551,0.6790205241620302,26.245347338051587
28,11396.336876618581,0.038695887966173736,24.25882460485651,-0.01479489100553739,0.23362986887937617,277.64337395156304,0.024948378865973567,0.09603767925533432,129.6966522064644,0.6689857380906702,28.97698416925898
29,11410.173331525233,0.03774048308814712,25.23532803113911,-0.014780096114531852,0.2301987842802759,270.70228960277393,0.023967437680171434,0.08499334614097089,129.82763649350113,0.6590992493504141,31.992931955909143
30,11422.169273990849,0.036808667240607544,26.225075031864588,-0.01476531601841732,0.22682144430963894,263.9347323627046,0.023025406614610253,0.07521911133475923,129.94355758752863,0.6493588663550878,35.32278201060311
31,11432.567949731294,0.03589985800831712,27.227274727165423,-0.014750550702398902,0.22349695794915797,257.33636405363694,0.02212072866757112,0.06656891353126192,130.04614775574296,0.6397624299064905,38.9992055335252
32,11441.580851653025,0.0350134873559214,28.24112718303106,-0.014735800151696503,0.2202244497238191,250.90295495229603,0.02125190968786522,0.058913488475166795,130.13694005461267,0.6303078127157542,43.058274169616396
33,11449.391765481925,0.03414900127290884,29.265825804808316,-0.014721064351544806,0.21700305941791911,244.63038107848863,0.020417515815616717,0.052138437300522616,130.21729123911234,0.6209929189317777,47.53981392959589
34,11456.160325138086,0.03330585942733614,30.30055965503806,-0.01470634328719326,0.21383194179649642,238.5146215515264,0.019616171028161294,0.04614251701096252,130.28840203739455,0.6118156836766282,52.48779594736678
35,11462.025130744276,0.032483534828103226,31.34451568837294,-0.014691636943906067,0.21071026633206827,232.55175601273822,0.018846554786705473,0.040836127554701826,130.3513350938743,0.6027740725878111,57.95076790776642
36,11467.106478214737,0.03168151349556664,32.396880897323044,-0.01467694530696216,0.2076372169365693,226.73796211241978,0.018107399779573898,0.03613997288591112,130.40703084885888,0.5938660813673017,63.98233037766354
37,11471.508745191126,0.03089929414028553,33.45684436354579,-0.014662268361655198,0.20461199169838815,221.06951305960928,0.017397489758045954,0.03198387600403134,130.45632159202023,0.5850897353372431,70.64166271397852
38,11475.322473890456,0.030136387849699454,34.52359921032701,-0.014647606093293544,0.20163380262440153,215.54277523311904,0.01671565746095018,0.028305730263567735,130.49994389971803,0.57644308900221,77.9941037086329
39,11478.626187350132,0.029392317782542088,35.59634445278772,-0.01463295848720025,0.19870187538690684,210.15420585229106,0.01606078262434473,0.02505057128325745,130.5385496420306,0.5679242256179409,86.11179266749153
40,11481.487971688384,0.028666618870799923,36.67428674319168,-0.01461832552871305,0.1958154490753567,204.90035070598378,0.015431790072765496,0.02216975558568284,130.5727157239772,0.5595312567664443,95.07437721331593
41,11483.96685339781,0.027958837529029616,37.756642009519815,-0.014603707203184338,0.1929737759528003,199.77784193833418,0.01482764788867002,0.019620233693329315,130.60295270649996,0.5512623219373836,104.96979475741763
42,11486.113997381164,0.027268531370852316,38.84263698621652,-0.014589103495981153,0.1901761212169391,194.7833958898758,0.014247365656846176,0.017363906818596442,130.6297124360326,0.543115588115649,115.89513530750882
43,11487.973748430022,0.026595268932447805,39.93151063669886,-0.014574514392485171,0.18742176276570588,189.91381099262892,0.013689992780689077,0.015367057534457853,130.65339479666898,0.5350892493750237,127.95759407728703
44,11489.584536133172,0.025938629402875522,41.02251546785188,-0.014559939878092686,0.18470999096727758,185.1659657178132,0.013154616867378656,0.0135998459179952,130.6743536858322,0.5271815264778559,141.27552324439063
45,11490.979660770285,0.025298202361054047,42.114918737311214,-0.014545379938214593,0.1820401084344355,180.53681657486788,0.012640362179114132,0.01203586363742575,130.69290230274163,0.5193906664806461,155.9795931761671
46,11492.187975579365,0.02467358751923458,43.20800355485918,-0.01453083455827638,0.1794114298031866,176.02339616049616,0.012146388147679755,0.01065173931912179,130.70931782870647,0.5117149423454643,172.21407451675182
47,11493.234478863882,0.02406439447280804,44.30106987973249,-0.014516303723718102,0.1768232815155628,171.62281125648374,0.011671887949729818,0.009426789297422784,130.72384556918536,0.5041526525571077,190.13825371480002
